url,price,city,neighbourhood,bedrooms,bathrooms,surface_area,property_type,latitude,longitude,description,furnished,property_mortgaged,lister_type,facade,building_age
https://bahu.ly/en/offers-details/residential-for-sale/villa-ground-floor-qatar-district-2b1caff5,,Benghazi,Hay Qatar,3,2,300 sqm,Villa,32.1143578,20.1073947,"Special Offer from Al Mawsoo3a Real Estate Office | Ground Floor Villa | Super Lux Finishing 2026
Location:
Qatar District
The villa is located directly behind the main road.
Areas:
Land Area: 300 sq m
Built Area: 230 sq m
Villa Details:
Men's Reception Room with Bathroom
Living Room
Women's Reception Room
2 Additional Bathrooms, One Master
3 Bedrooms
Additional Features:
Modern Finishing 2026
Integrated CCTV System
For inquiries or more information: Call or WhatsApp",0,0,Agent,,0.0
https://bahu.ly/en/offers-details/residential-for-sale/villa-two-apartments-venice-benghazi-574eea73,"3,000,000 LYD",Benghazi,Venecia,7,6,570 sqm,Villa,32.0597375,20.0772031,"Hayat Real Estate Services presents | Villa for Sale
Location:
Venice, opposite Al-Malhad Equestrian Shops, the street opposite the Technical High School
Inside a gated compound with security and cameras
Land and Area Details:
Plot Area: 570 sq m
On two streets (paved and river water)
Built Area: 320 sq m
Layout and Specifications:
Ground Floor:
Reception room with bathroom
Kitchen
Living room facing the swimming pool + Skills waterfall
Hall
Ladies' room
Bedroom suite: Two bedrooms with bathrooms + master bedroom with bathroom and wardrobe
Second Floor:
Two apartments, each 160 sq m
Each apartment:
Reception room with bathroom
Two bedrooms
Bathroom
Kitchen
Hall
Balcony
Additional Features:
Integrated swimming pool with waterfall in the center of the villa, opposite the living room and kitchen
2025 VIP finishing
Multi-modern design
Property certificate procedures are in place
Price:
3,000,000 Libyan Dinars
For inquiries or more information: Call or WhatsApp",0,0,Owner,,0.0
https://bahu.ly/en/offers-details/residential-for-sale/modern-houses-ground-floor-ain-zara-a358d536,"365,000 LYD",Tripoli,Ain Zara,3,3,184 sqm,House,32.816667,13.266667,"Sun Plus Real Estate Marketing, Construction, and Maintenance Company presents a unique opportunity:
10 Houses for Sale – Ain Zara / Dou Al Abyar Road
Code No.: 324
Location:
Ain Zara – Dou Al Abyar Road, near Al Marwa Mosque, 10-meter wide road, excellent residential location
Property Type:
Modern houses – built in 2025/2026
Land Area: 184 to 187 square meters
Built Area: 164 to 174 square meters
House Features:
Separate entrance
Men's reception room with bathroom
Women's entrance and reception room with bathroom
Kitchen
Skylight
Master bedroom with bathroom
2 bedrooms
Staircase to the roof
Garden
Water well
Cistern
Legal Status:
All paperwork is in order and ready for transfer
Price:
365,000 Libyan Dinars (negotiable for serious buyers only)
For inquiries or more information, please contact us by phone or WhatsApp",0,0,Owner,,0.0
https://bahu.ly/en/offers-details/residential-for-sale/house-ground-floor-zawiya---tripoli-550b2d14,"380,000 LYD",AL-Zawiya,West Zawiya,2,1,1000 sqm,House,32.7686527,12.6273621,"Zawiya Real Estate - Tripoli presents a special offer: House for sale – Bir Maamer area / Zawiya
Location:
Bir Maamer area, a quiet and desirable residential location
Property Type:
Ground floor house suitable for family living
Land Area: 1,000 sq m
Built Area: Approximately 210 sq m
Consists of:
Bedrooms
Bathrooms
Kitchen
Living Room
House Features:
Water Well
Stolen Water Tank (additional property)
Price:
Price: 380,000 Libyan Dinars (negotiable)
For inquiries or more information, please contact us by phone or WhatsApp",0,0,Owner,,
https://bahu.ly/ar/offers-details/commercial-for-rent/the-platinum-residence-700-m-luxury-with-25-car-basement-858a50df,"125,000 د.ل.",طرابلس,عين زارة,,,,,32.816667,13.266667,":المواصفات العامة
مساحة الأرض للمبنى: 700 متر مربع
:البدروم / تحت الأرضي
الدور تحت الأرضي مسقوف 600 متر، يسع لِـ 25 سيارة مع طريق لدخول والخروج.
حجرة للغفير مع حمام في البدروم.
خزان مياه تحت القاعدة الأساسية: 120 ألف لتر.
:المصعد
مصعد يحمل 10 أشخاص من شركة أرونا/أورونا الإسبانية، من البدروم لجميع الأدوار — 800 kg.
:الطوابق والوحدات
الدور الأرضي: صالة محلات مساحتها 220 m2 و شقة من ثلاث غرف وصالون ومطبخ وثلاث حمامات.

الدور الأول والثاني والثالث والرابع والخامس (متكرر): يحتوي كل دور على:

شقق بمساحة 220 m2: عدد 5 شقق

شقق بمساحة 200 m2: عدد 5 شقق

شقق بمساحة 180 m2: عدد 6 شقق

عدد الشقق الكلي: 16

:المرافق والمجموعات داخل المبنى
يحتوي كامل المبنى على: 58 (غرفة + صالون) -
44 حمّام -
16 مطبخ -
:المولد والتكييف والأبواب
مولد هومنزا إسباني: 200 KVA.

التكييف بالكامل من شركة متشيبتسي اليابانية.

أبواب العمارة والأبواب الرئيسية لكل الشقق: أبواب كاسة حقيقي ومصفّح من أفضل شركة في إيطاليا.",0,0,Agent,,
https://bahu.ly/en/offers-details/residential-for-sale/house-two-independent-floors-qasr-bin-ghashir-34c44b48,"700,000 LYD",Qasr bin Ghashir,Salah Aldeen,4,4,300 sqm,House,32.7150047,13.1973291,"SH Real Estate Services presents a special offer: House for sale – Qasr Bin Ghashir / Opposite Al-Tahrir School
Location:
Qasr Bin Ghashir, the heart of the area, opposite Al-Tahrir School, within the planned development, a strategic location close to all essential services (schools, markets, transportation)
Property Type:
A complete two-story house, suitable for family living or investment
Land Area: 300 square meters
Dimensions: Frontage: 12 meters
Built Area:
First Floor: 180 square meters
Second Floor: 200 square meters
Consists of:
Bedrooms
Bathrooms
Kitchen
Reception Room
House Specifications and Features:
Strong foundation (concrete slab, footings, and beams) ensuring durability and stability
Includes a rented shop generating a steady income
2 water fountains
Spacious garden that can accommodate six cars
Legal Status:
Sound and documented legal paperwork: Legally registered title deed
Price:
700,000 Libyan Dinars
For inquiries or more information, Please contact us via phone or WhatsApp.",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/house-modern-design-qasr-bin-ghashir-0c44a973,"210,000 LYD",Qasr Bin Ghashir,Bir Al-Alam Road,3,2,200 sqm,House,32.6909866,13.2241294,"SH Real Estate Services presents a special offer: House for sale – strategic location behind Al Mawada Clinic
Location:
Qasr Bin Ghashir – Bir Al Alam, behind Al Mawada Clinic. A vibrant location with easy access, enhancing investment value.
Property Type:
Newly built house suitable for family living
Land Area: 200 sq m
Built Area: 185 sq m
Interior Layout:
3 spacious bedrooms
2 bathrooms
Practical kitchen
External staircase
Property Features:
Modern design prioritizing comfort and practicality
Strategic location close to services and amenities
Complete and documented legal paperwork: Legally registered title deed
A rare opportunity to purchase in a desirable location
Price:
Total Price = 210,000 Libyan Dinars
For inquiries or more information, please contact us by phone or WhatsApp",0,0,Owner,,0.0
https://bahu.ly/en/offers-details/residential-for-sale/house-semi-finished-bir-al-alam-7d61f806,"130,000 LYD",Qasr Bin Ghashir,Bir Al-Alam Road,3,3,220 sqm,House,32.6909866,13.2241294,"SH Real Estate Services presents a special offer: A semi-finished house for sale – a golden opportunity for investment and residence.
Location:
Bir Al-Alam – Behind Al-Mawadda Clinic, a quiet location close to essential services.
Property Type:
Semi-finished house suitable for family living or investment.
Land Area: 220 sq m
Built Area: 120 sq m
Dimensions:
Frontage: On a 9-meter wide road
House Details:
Men's reception room with a separate bathroom
Elegant women's reception room
Spacious and practical kitchen
Master bedroom with ensuite bathroom
Comfortable family living room
Children's bedroom
Additional bathroom
Property Features:
Modern design, customizable to your taste
Quiet location close to essential services
Complete and documented legal paperwork: Legally registered title deed
A rare opportunity for investment or residence
Price:
Total Price = 130,000 Libyan Dinars
For inquiries or more information, please contact us by phone or WhatsApp.",0,0,Owner,,0.0
https://bahu.ly/en/offers-details/residential-for-sale/apartment-modern-finishing-venice-1c1e328a,,Benghazi,Venecia,3,2,125 sqm,Apartment,32.0597375,20.0772031,"Ayham Real Estate presents a special offer: Apartment for sale – Al Mawadda Scheme, Venice
Location: Al Mawadda Scheme – Venice
Third Floor
Apartment Size: 125 sq m
Apartment Details:
3 Bedrooms
Living Room
Kitchen
Reception Room
2 Bathrooms
For inquiries or more information, please contact Ayham Real Estate",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-for-sale-70-completion-bu-snib---qaryounis-621dae29,"750,000 LYD",Benghazi,Bo sneib,3,3,500 sqm,Villa,32.0350472,20.0399765,"Special Offer from Al-Qawarsha Real Estate Office: Villa for Sale
Code: 2303
Location: Benghazi - Qaryounis - Bu Snib
Accessible via: Al-Haraba Road, first paved road on the right
Or Al-Jazzar Street (formerly)
Land Area: 500 sq m
Built-up Area: 250 sq m
Villa Details:
3 Bedrooms (Master Bedroom)
Living Room
Ladies' Salon with Bathroom
Staircase
Additional Information:
Electricity, Plumbing, Plastering, and Sewerage Connected
5000-Liter Underground Water Tank and 2000-Liter Overhead Water Tank
Electricity and River Water Connection
Fourth Villa on the Main Branch Road
Properties: Property Certificate
Price:
Cash: 750,000 LYD
Bank Payment: 850,000 LYD
Al-Qawarsha Real Estate Investment and General Contracting Office is pleased to serve you and answer your inquiries",0,0,Agent,,
