price,city,neighbourhood,bedrooms,bathrooms,surface_area,subcategory,latitude,longitude,furnished?,property_mortgaged?,lister_type,facade,price_per_meter_square
720000.0,Benghazi,Qar Yunis,3.0,2.0,105.0,Apartment,32.847191,13.125021,False,False,Agent,Eastern,6857.142857142857
725000.0,Benghazi,Al Hawary,3.0,2.0,105.0,Apartment,32.778309,13.264442,False,False,Landlord,Eastern,6904.761904761905
290000.0,Benghazi,Venice,4.0,2.0,155.0,Apartment,32.763538,13.181585,False,False,Agent,Eastern,1870.967741935484
230000.0,Benghazi,Al Sayeda Aesha,4.0,2.0,160.0,Apartment,32.78106,13.07882,False,False,Landlord,Eastern,1437.5
450000.0,Benghazi,Qar Yunis,2.0,1.0,120.0,Apartment,32.829285,13.102837,False,False,Landlord,Eastern,3750.0
570000.0,Benghazi,Dakkadosta,3.0,2.0,150.0,Apartment,32.851206,13.222921,False,False,Agent,Eastern,3800.0
650000.0,Benghazi,Masr,2.0,1.0,120.0,Apartment,32.816936,13.163482,False,False,Agent,Eastern,5416.666666666667
450000.0,Benghazi,Qar Yunis,2.0,2.0,100.0,Apartment,32.781687,13.173064,False,False,Agent,Eastern,4500.0
285000.0,Sabratha,Talil,2.0,2.0,125.0,Apartment,32.80848,13.095013,False,False,Landlord,Eastern,2280.0
180000.0,al khoms,Other,4.0,2.0,175.0,Apartment,32.77352,13.183477,False,False,Landlord,Eastern,1028.571428571429
600000.0,misratah,Tamina,3.0,2.0,200.0,Apartment,32.119423,20.08679,False,False,Landlord,Eastern,3000.0
185000.0,tripoli,Khalatat,3.0,2.0,120.0,Apartment,32.769264,13.181019,False,False,Landlord,Eastern,1541.6666666666667
560000.0,tripoli,Souq Al Juma,4.0,2.0,165.0,Apartment,32.871067,13.29159,False,False,Landlord,Eastern,3393.939393939394
450000.0,tripoli,Al Sidra,5.0,3.0,180.0,Apartment,32.880876,13.184259,False,False,Landlord,Eastern,2500.0
650000.0,tripoli,Tajoura,3.0,3.0,145.0,Apartment,32.022215,20.033055,False,False,Agent,Eastern,4482.758620689655
450000.0,tripoli,Al Dahra,3.0,1.0,170.0,Apartment,32.803822,13.262916,False,False,Agent,Eastern,2647.058823529412
650000.0,tripoli,Al Sarraj,4.0,2.0,140.0,Apartment,32.768856,13.335288,False,False,Landlord,Eastern,4642.857142857143
350000.0,tripoli,Al Sarraj,4.0,3.0,190.0,Apartment,31.900473,14.870237,False,False,Agent,Eastern,1842.1052631578948
700000.0,tripoli,Gorje,2.0,2.0,150.0,Apartment,32.86515,13.198338,False,False,Agent,Eastern,4666.666666666667
780000.0,tripoli,Al Shok,3.0,2.0,150.0,Apartment,32.707444,13.16207,False,False,Landlord,Eastern,5200.0
240000.0,tripoli,Al Sarraj,4.0,3.0,180.0,Apartment,32.844186,13.237216,False,False,Agent,Eastern,1333.3333333333333
265000.0,tripoli,Abu Saleem,3.0,2.0,120.0,Apartment,32.797089,13.088934,False,False,Landlord,Eastern,2208.333333333333
270000.0,tripoli,Al Sarraj,3.0,2.0,195.0,Apartment,32.821907,13.076027,False,False,Landlord,Eastern,1384.6153846153843
210000.0,tripoli,Al Sidra,4.0,3.0,220.0,Apartment,32.845322,13.237057,False,False,Landlord,Eastern,954.5454545454544
300000.0,tripoli,Al Sarraj,3.0,3.0,165.0,Apartment,32.789112,13.021667,False,False,Agent,Eastern,1818.1818181818185
215000.0,tripoli,Abu Nawwas,4.0,1.0,180.0,Apartment,32.198179,15.103913,False,False,Landlord,Eastern,1194.4444444444443
370000.0,tripoli,Alfornaj,1.0,1.0,100.0,Apartment,32.056017,20.122069,False,False,Landlord,Eastern,3700.0
250000.0,tripoli,Al Sidra,2.0,2.0,140.0,Apartment,32.294651,14.855191,False,False,Landlord,Eastern,1785.7142857142858
260000.0,tripoli,Bab Al Azizia,2.0,2.0,120.0,Apartment,32.873573,13.38707,False,False,Landlord,Eastern,2166.6666666666665
1050000.0,tripoli,Al Sabaa,4.0,3.0,210.0,Apartment,32.860437,13.329545,False,False,Landlord,Eastern,5000.0
999999.0,tripoli,Al Sarraj,4.0,3.0,161.0,Apartment,32.881477,13.231646,False,False,Agent,Eastern,6211.173913043478
300000.0,tripoli,Other,2.0,2.0,120.0,Apartment,32.779228,13.074129,False,False,Landlord,Eastern,2500.0
320000.0,tripoli,Khalatat,4.0,2.0,150.0,Apartment,32.847054,13.214539,False,False,Landlord,Eastern,2133.333333333333
424444.0,tripoli,Souq Al Juma,4.0,2.0,175.0,Apartment,32.385475,14.986122,False,False,Agent,Eastern,2425.3942857142856
975000.0,tripoli,Ghut Shaal,3.0,3.0,300.0,Apartment,32.850456,13.305022,False,False,Agent,Eastern,3250.0
285000.0,tripoli,Ain Zara,3.0,1.0,90.0,Apartment,32.701237,12.396827,False,False,Landlord,Eastern,3166.6666666666665
500000.0,tripoli,Khalatat,3.0,2.0,160.0,Apartment,32.871208,13.146643,False,False,Landlord,Eastern,3125.0
700000.0,tripoli,Al Sabaa,4.0,2.0,175.0,Apartment,32.827274,13.197671,False,False,Agent,Eastern,4000.0
630000.0,tripoli,Al Sarraj,4.0,3.0,190.0,Apartment,32.853289,13.102014,False,False,Agent,Eastern,3315.7894736842104
420000.0,tripoli,Tareeq Al Mashtal,3.0,3.0,180.0,Apartment,32.100197,20.130072,False,False,Landlord,Eastern,2333.333333333333
1100000.0,tripoli,Al Dahra,3.0,2.0,150.0,Apartment,32.849701,13.122361,False,False,Agent,Eastern,7333.333333333333
175000.0,tripoli,Ain Zara,2.0,1.0,100.0,Apartment,32.793349,13.050447,False,False,Landlord,Eastern,1750.0
330000.0,tripoli,Airport Road,3.0,1.0,110.0,Apartment,32.069254,20.06723,False,False,Landlord,Eastern,3000.0
250000.0,tripoli,Abu Saleem,3.0,1.0,120.0,Apartment,32.603149,13.245832,False,False,Agent,Eastern,2083.333333333333
250000.0,tripoli,Al Sarraj,3.0,2.0,142.0,Apartment,32.826134,13.381911,False,False,Landlord,Eastern,1760.56338028169
600000.0,tripoli,Khalatat,2.0,2.0,125.0,Apartment,32.316204,15.096934,False,False,Landlord,Eastern,4800.0
235000.0,tripoli,Al Siyahiya,2.0,3.0,220.0,Apartment,31.991516,20.132471,False,False,Agent,Eastern,1068.1818181818182
155000.0,tripoli,Al Sarraj,3.0,2.0,113.0,Apartment,32.863281,13.308369,False,False,Landlord,Eastern,1371.6814159292037
480000.0,tripoli,Al Sarraj,2.0,2.0,113.0,Apartment,32.796581,13.331454,False,False,Landlord,Eastern,4247.787610619469
330000.0,tripoli,Edraibi,2.0,2.0,130.0,Apartment,32.799486,13.229246,False,False,Agent,Eastern,2538.4615384615386
550000.0,tripoli,Al Sarraj,4.0,3.0,164.0,Apartment,32.856996,13.210352,False,False,Agent,Eastern,3353.6585365853657
1400000.0,tripoli,Zanata,4.0,3.0,175.0,Apartment,32.054704,20.119411,False,False,Agent,Eastern,8000.0
175000.0,tripoli,Gorje,3.0,2.0,175.0,Apartment,32.840776,13.072935,False,False,Agent,Eastern,1000.0
700000.0,tripoli,Al Sarraj,4.0,3.0,165.0,Apartment,32.727618,13.111697,False,False,Agent,Eastern,4242.424242424242
1150000.0,tripoli,Alfornaj,3.0,2.0,170.0,Apartment,32.883335,13.203993,False,False,Agent,Eastern,6764.705882352941
230000.0,tripoli,Edraibi,2.0,2.0,170.0,Apartment,32.826013,13.195286,False,False,Agent,Eastern,1352.9411764705883
400000.0,tripoli,Tajoura,5.0,5.0,770.0,Apartment,32.771075,13.219432,False,False,Landlord,Eastern,519.4805194805194
1111000.0,tripoli,Al Sarraj,3.0,3.0,180.0,Apartment,32.679726,13.158247,False,False,Landlord,Eastern,6172.222222222223
225000.0,tripoli,Janzour,4.0,2.0,220.0,Apartment,32.816667,13.266667,False,False,Landlord,Eastern,1022.7272727272727
245000.0,tripoli,Al Sarraj,1.0,2.0,90.0,Apartment,32.838756,13.350834,False,False,Landlord,Eastern,2722.222222222222
380000.0,tripoli,Bin Ashour,4.0,3.0,190.0,Apartment,32.816667,13.266667,False,False,Agent,Eastern,2000.0
1000000.0,tripoli,Al Sarraj,4.0,3.0,150.0,Apartment,32.811981,13.013561,False,False,Agent,Eastern,6666.666666666667
480000.0,tripoli,Al Sarraj,4.0,2.0,135.0,Apartment,31.94704,19.974515,False,False,Landlord,Eastern,3555.555555555556
480000.0,tripoli,Khalatat,3.0,1.0,140.0,Apartment,32.772644,13.060912,False,False,Landlord,Eastern,3428.5714285714284
700000.0,tripoli,Al Dahra,3.0,2.0,150.0,Apartment,32.861717,13.383128,False,False,Landlord,Eastern,4666.666666666667
330000.0,tripoli,Al Nasr,4.0,2.0,170.0,Apartment,32.787005,13.073244,False,False,Agent,Eastern,1941.176470588236
250000.0,tripoli,Al Shok,3.0,2.0,110.0,Apartment,32.841991,13.13535,False,False,Landlord,Eastern,2272.7272727272725
210000.0,tripoli,Al Sarraj,3.0,3.0,150.0,Apartment,32.781258,13.219161,False,False,Agent,Eastern,1400.0
260000.0,tripoli,Al Sarraj,3.0,3.0,130.0,Apartment,32.781334,13.077713,False,False,Landlord,Eastern,2000.0
1225000.0,tripoli,Al Sarraj,3.0,3.0,170.0,Apartment,32.812294,13.294546,False,False,Agent,Eastern,7205.882352941177
950000.0,tripoli,Al Sarraj,3.0,3.0,200.0,Apartment,32.812504,13.29452,False,False,Agent,Eastern,4750.0
380000.0,tripoli,Al Sarraj,2.0,2.0,140.0,Apartment,32.823055,13.063317,False,False,Agent,Eastern,2714.285714285714
560000.0,tripoli,Al Sarraj,3.0,3.0,135.0,Apartment,32.808129,13.061951,False,False,Agent,Eastern,4148.148148148148
350000.0,tripoli,Al Sarraj,3.0,3.0,175.0,Apartment,32.813628,13.05966,False,False,Agent,Eastern,2000.0
235000.0,tripoli,Al Sarraj,3.0,2.0,180.0,Apartment,32.826469,13.081684,False,False,Agent,Eastern,1305.5555555555557
320000.0,tripoli,Al Sarraj,2.0,2.0,120.0,Apartment,32.819071,13.062125,False,False,Agent,Eastern,2666.6666666666665
530000.0,tripoli,Al Sarraj,2.0,2.0,130.0,Apartment,32.816666,13.266667,False,False,Agent,Eastern,4076.923076923077
580000.0,tripoli,Al Sarraj,2.0,2.0,120.0,Apartment,32.801094,13.070073,False,False,Agent,Eastern,4833.333333333333
230000.0,tripoli,Al Sarraj,3.0,3.0,180.0,Apartment,32.768394,13.264783,False,False,Agent,Eastern,1277.7777777777778
230000.0,tripoli,Al Sarraj,3.0,3.0,200.0,Apartment,32.796352,13.082076,False,False,Agent,Eastern,1150.0
870000.0,Benghazi,Al Majouri,3.0,1.0,150.0,Apartment,32.886757,13.183507,False,False,Agent,Northeast,5800.0
295000.0,Benghazi,Al Nahr,3.0,3.0,200.0,Apartment,32.788258,13.077653,False,False,Agent,Northeast,1475.0
250000.0,Benghazi,Keesh,4.0,2.0,150.0,Apartment,32.807122,13.055716,False,False,Agent,Northeast,1666.6666666666667
850000.0,Benghazi,Shabna,3.0,2.0,140.0,Apartment,32.81411,13.302146,False,False,Agent,Northeast,6071.428571428572
1000000.0,Benghazi,Al Berka,2.0,2.0,150.0,Apartment,32.799486,13.229246,False,False,Landlord,Northeast,6666.666666666667
225000.0,Benghazi,Al Hadaiq,4.0,3.0,220.0,Apartment,32.569035,13.128031,False,False,Landlord,Northeast,1022.7272727272727
1300000.0,Benghazi,Sidi Hussein,3.0,1.0,200.0,Apartment,32.871021,13.23137,False,False,Agent,Northeast,6500.0
240000.0,Gharyan,Other,4.0,2.0,160.0,Apartment,32.168337,13.028321,False,False,Landlord,Northeast,1500.0
700000.0,Sabratha,Other,3.0,2.0,165.0,Apartment,32.012854,20.062216,False,False,Landlord,Northeast,4242.424242424242
290000.0,Zawiya,Other,3.0,2.0,150.0,Apartment,32.763028,12.736496,False,False,Landlord,Northeast,1933.3333333333333
255000.0,tripoli,Al Sarraj,4.0,2.0,125.0,Apartment,32.849712,13.105349,False,False,Landlord,Northeast,2040.0
175000.0,tripoli,Salah Al Din,2.0,2.0,125.0,Apartment,32.860039,13.169038,False,False,Landlord,Northeast,1400.0
165000.0,tripoli,Salah Al Din,2.0,2.0,125.0,Apartment,32.850021,13.204186,False,False,Landlord,Northeast,1320.0
550000.0,tripoli,Al Dahra,4.0,3.0,160.0,Apartment,32.778446,13.205771,False,False,Agent,Northeast,3437.5
