price,location,city,neighborhood,bedrooms,bathrooms,furnished?,surface_area,land_area,building_age,facade,property_mortgaged?,lister_type,payment_method,category,subcategory,reference_id,main_amenities,nearby,additional_amenities,property_status
690000.0,"https://www.google.com/maps/search/?api=1&query=32.779791,13.318987&zoom=15",Tripoli,Ain Zara,7,3,True,300.0,355.0,1.0,Northern,False,Landlord,Cash,Property For Sale,Homes for Sale,,,,,
1250000.0,"https://www.google.com/maps/search/?api=1&query=32.844074,13.354989&zoom=15",Tripoli,Tajura,2,2,True,170.0,1622.0,10.0,Southeast,False,Agent,Cash,Property For Sale,Farms & Chalets for Sale,066,,,,
120000.0,"https://www.google.com/maps/search/?api=1&query=32.093327,20.086777&zoom=15",Benghazi,Bu Hadi,2,3,False,160.0,500.0,,,False,Landlord,Cash,Property For Sale,Homes for Sale,,,,,
700000.0,"https://www.google.com/maps/search/?api=1&query=32.878323,13.166314&zoom=15",Tripoli,Al-Mansoura,7,2,False,220.0,133.0,20.0,Eastern,False,Agent,Cash,Property For Sale,Homes for Sale,07,Balcony,,,
1050000.0,"https://www.google.com/maps/search/?api=1&query=32.76701,13.284226&zoom=15",Tripoli,Tareeq Al-Mashtal,7,4,False,390.0,265.0,1.0,Eastern,False,Agent,Cash,Property For Sale,Villas for Sale,22222,,,,
450000.0,"https://www.google.com/maps/search/?api=1&query=32.635868,13.383924&zoom=15",Tripoli,Wadi Al-Rabi,1,1,False,60.0,2500.0,6.0,Southern,False,Landlord,Cash,Property For Sale,Farms & Chalets for Sale,,,,,
1750000.0,"https://www.google.com/maps/search/?api=1&query=32.873769,13.270429&zoom=15",Tripoli,Souq Al-Juma'a,7,7,False,400.0,452.0,0.0,Southern,False,Agent,Cash,Property For Sale,Homes for Sale,1973,Installed Kitchen,,,
3950000.0,"https://www.google.com/maps/search/?api=1&query=32.850189,13.070551&zoom=15",Tripoli,Al-Seyaheyya,7,5,False,480.0,200.0,,Southeast,False,Landlord,Cash,Property For Sale,Villas for Sale,,,,,
185000.0,"https://www.google.com/maps/search/?api=1&query=31.937334,19.954775&zoom=15",Benghazi,Al Halis District,2,1,True,127.0,127.0,1.0,Eastern,False,Agent,Cash,Property For Sale,Farms & Chalets for Sale,,,Supermarket,,
500000.0,"https://www.google.com/maps/search/?api=1&query=32.807232,13.315532&zoom=15",Tripoli,Ain Zara,3,2,False,130.0,663.0,10.0,,False,Agent,Cash,Property For Sale,Homes for Sale,00000008,,,,
2300000.0,"https://www.google.com/maps/search/?api=1&query=32.903069,13.225187&zoom=15",Tripoli,Abu Sittah,7,4,False,440.0,304.0,20.0,Eastern,False,Landlord,Cash,Property For Sale,Villas for Sale,,Balcony,,,
2350000.0,"https://www.google.com/maps/search/?api=1&query=32.871208,13.146643&zoom=15",Tripoli,Gorje,7,7,True,845.0,305.0,1.0,Northern,False,Landlord,Cash,Property For Sale,Villas for Sale,,Laundry Room,,BBQ Area,
2300000.0,"https://www.google.com/maps/search/?api=1&query=32.804192,13.093391&zoom=15",Tripoli,Al-Serraj,7,7,False,700.0,2600.0,,Northern,False,Agent,Cash,Property For Sale,Villas for Sale,,,,,
1200000.0,"https://www.google.com/maps/search/?api=1&query=32.879863,13.289647&zoom=15",Tripoli,Souq Al-Juma'a,7,4,False,350.0,220.0,6.0,,False,Agent,Cash,Property For Sale,Homes for Sale,00000000013,,,,
3000000.0,"https://www.google.com/maps/search/?api=1&query=32.859253,13.298924&zoom=15",Tripoli,Ain Zara,7,7,False,1500.0,1000.0,1.0,Southwest,False,Agent,Cash,Property For Sale,Homes for Sale,145,,,,
1900000.0,"https://www.google.com/maps/search/?api=1&query=32.877262,13.278005&zoom=15",Tripoli,Souq Al-Juma'a,7,7,False,550.0,260.0,0.0,Western,False,Agent,Cash,Property For Sale,Homes for Sale,22221,,,,
1200000.0,"https://www.google.com/maps/search/?api=1&query=32.883381,13.281882&zoom=15",Tripoli,Souq Al-Juma'a,7,4,False,200.0,280.0,1.0,Northern,False,Agent,Cash,Property For Sale,Homes for Sale,124,,,,
800000.0,"https://www.google.com/maps/search/?api=1&query=32.878452,13.300676&zoom=15",Tripoli,Souq Al-Juma'a,5,2,False,300.0,200.0,1.0,Western,False,Agent,Cash,Property For Sale,Homes for Sale,11223,,,,
1300000.0,"https://www.google.com/maps/search/?api=1&query=32.818401,13.300449&zoom=15",Tripoli,Ain Zara,7,7,True,450.0,500.0,6.0,Southern,False,Agent,Cash,Property For Sale,Villas for Sale,,,,,
1600000.0,"https://www.google.com/maps/search/?api=1&query=32.874424,13.277641&zoom=15",Tripoli,Souq Al-Juma'a,7,7,False,500.0,360.0,6.0,Northern,False,Agent,Cash,Property For Sale,Homes for Sale,0000004,,,,
1750000.0,"https://www.google.com/maps/search/?api=1&query=32.889709,13.261527&zoom=15",Tripoli,Souq Al-Juma'a,7,7,False,400.0,250.0,0.0,Southern,False,Agent,Cash,Property For Sale,Homes for Sale,312,,,,
650000.0,"https://www.google.com/maps/search/?api=1&query=32.805893,13.319472&zoom=15",Tripoli,Ain Zara,7,5,False,310.0,180.0,,Northeast,False,Landlord,Cash,Property For Sale,Villas for Sale,62185,Maid Room,,,
675000.0,"https://www.google.com/maps/search/?api=1&query=31.997295,19.9704&zoom=15",Benghazi,Qanfooda,3,2,False,150.0,400.0,0.0,Southwest,False,Agent,Cash,Property For Sale,Whole Building for Sale,,,,,Complete
725000.0,"https://www.google.com/maps/search/?api=1&query=32.837627,13.312297&zoom=15",Tripoli,Tareeq Al-Mashtal,3,3,False,260.0,300.0,,Eastern,False,Landlord,Cash,Property For Sale,Villas for Sale,274033387,,,,
900000.0,"https://www.google.com/maps/search/?api=1&query=32.854565,13.299747&zoom=15",Tripoli,Tareeq Al-Mashtal,7,7,False,430.0,250.0,,Southwest,False,Agent,Cash,Property For Sale,Villas for Sale,,,,,
2000000.0,"https://www.google.com/maps/search/?api=1&query=32.032207,20.103458&zoom=15",Benghazi,Al Hawary,7,7,False,320.0,2000.0,1.0,,False,Agent,Cash,Property For Sale,Villas for Sale,,,,,
650000.0,"https://www.google.com/maps/search/?api=1&query=32.730728,13.157012&zoom=15",Tripoli,Abu Saleem,4,4,False,130.0,140.0,1.0,Southern,False,Landlord,Cash,Property For Sale,Homes for Sale,,Installed Kitchen,,,
400000.0,,Tripoli,Al-Hadba Al-Khadra,7,2,False,132.0,132.0,20.0,Southern,False,Landlord,Cash,Property For Sale,Homes for Sale,,Air Conditioning,Mosque,Garage Parking,
3000000.0,"https://www.google.com/maps/search/?api=1&query=32.79206,13.063791&zoom=15",Tripoli,Al-Serraj,7,7,False,300.0,500.0,10.0,Western,False,Landlord,Cash,Property For Sale,Villas for Sale,,Air Conditioning,School,Garage Parking,
600000.0,"https://www.google.com/maps/search/?api=1&query=32.827942,13.381835&zoom=15",Tripoli,Tajura,7,4,False,230.0,2500.0,6.0,,False,Agent,Cash,Property For Sale,Homes for Sale,,,,,
777770.0,"https://www.google.com/maps/search/?api=1&query=32.77301,13.222767&zoom=15",Tripoli,Khallet Alforjan,5,2,False,200.0,702.0,10.0,Northern,False,Landlord,Cash,Property For Sale,Homes for Sale,,,,,
1000000.0,"https://www.google.com/maps/search/?api=1&query=31.936954,20.137913&zoom=15",Benghazi,Al Hawary,4,3,False,285.0,2000.0,,Eastern,False,Landlord,Cash,Property For Sale,Homes for Sale,,,Mosque,Storage,
20000.0,"https://www.google.com/maps/search/?api=1&query=32.959438,13.190663&zoom=15",Tripoli,Al-Serraj,7,7,False,400.0,270.0,0.0,Southeast,False,Landlord,Cash,Property For Sale,Villas for Sale,,,,,
1800000.0,"https://www.google.com/maps/search/?api=1&query=32.869787,13.254533&zoom=15",Tripoli,Souq Al-Juma'a,7,7,False,475.0,365.0,1.0,Eastern,False,Landlord,Cash,Property For Sale,Villas for Sale,,,,,
1100000.0,"https://www.google.com/maps/search/?api=1&query=32.863453,13.285184&zoom=15",Tripoli,Ain Zara,5,3,True,310.0,525.0,1.0,Eastern,False,Landlord,Cash,Property For Sale,Homes for Sale,,,,,
600000.0,"https://www.google.com/maps/search/?api=1&query=32.770691,13.277678&zoom=15",Tripoli,Ain Zara,4,2,False,270.0,280.0,0.0,Northern,False,Landlord,Cash,Property For Sale,Homes for Sale,,,,,
250000.0,,Tripoli,Tajura,3,2,True,147.0,250.0,0.0,Northern,False,Landlord,Cash,Property For Sale,Villas for Sale,0934407320,,,,
450000.0,,Tripoli,Al-Serraj,3,3,False,160.0,180.0,0.0,Western,False,Landlord,Cash,Property For Sale,Villas for Sale,,,,,
950000.0,"https://www.google.com/maps/search/?api=1&query=32.650286,14.242409&zoom=15",Al Khums,Other,7,4,False,280.0,440.0,10.0,,False,Landlord,Cash,Property For Sale,Homes for Sale,,Balcony,,Storage,
10000.0,"https://www.google.com/maps/search/?api=1&query=32.816667,13.266667&zoom=15",Tripoli,Ain Zara,3,4,True,245.0,735.0,6.0,,False,Landlord,Cash,Property For Sale,Villas for Sale,,,,,
3250000.0,,Tripoli,Al-Serraj,7,7,False,600.0,500.0,0.0,,False,Agent,Cash,Property For Sale,Villas for Sale,,,,,
3000000.0,"https://www.google.com/maps/search/?api=1&query=32.827545,13.404595&zoom=15",Tripoli,Tajura,7,7,True,380.0,4800.0,20.0,Eastern,False,Landlord,Cash,Property For Sale,Homes for Sale,0913710095,,,,
1111112.0,"https://www.google.com/maps/search/?api=1&query=32.825889,13.352478&zoom=15",Tripoli,Al-Bivio,4,3,False,230.0,1000.0,10.0,Southeast,False,Landlord,Cash,Property For Sale,Villas for Sale,,Air Conditioning,,,
770000.0,"https://www.google.com/maps/search/?api=1&query=32.751374,13.252247&zoom=15",Tripoli,Ain Zara,3,4,False,310.0,180.0,0.0,Northern,False,Landlord,Cash,Property For Sale,Homes for Sale,,Balcony,,Garage Parking,
975000.0,"https://www.google.com/maps/search/?api=1&query=32.821907,13.076027&zoom=15",Tripoli,Al-Serraj,4,5,False,345.0,175.0,0.0,Southeast,False,Agent,Cash,Property For Sale,Villas for Sale,27,,,,
1800000.0,"https://www.google.com/maps/search/?api=1&query=32.830322,13.102814&zoom=15",Tripoli,Al-Serraj,7,4,False,440.0,500.0,10.0,Northeast,False,Landlord,Cash,Property For Sale,Villas for Sale,,,,,
1900000.0,"https://www.google.com/maps/search/?api=1&query=32.859199,13.129345&zoom=15",Tripoli,Kashlaf,3,1,False,280.0,280.0,20.0,Northeast,False,Agent,Cash,Property For Sale,Homes for Sale,,Refrigerator,,Elevator,
950000.0,"https://www.google.com/maps/search/?api=1&query=32.783749,13.070095&zoom=15",Tripoli,Al-Serraj,3,4,False,260.0,465.0,6.0,Western,False,Agent,Cash,Property For Sale,Villas for Sale,,,,Garage Parking,
1800000.0,"https://www.google.com/maps/search/?api=1&query=32.0625,20.138602&zoom=15",Benghazi,Al-Sindibad District,7,4,False,320.0,500.0,0.0,Northeast,False,Agent,Cash,Property For Sale,Villas for Sale,,,,,
90000.0,"https://www.google.com/maps/search/?api=1&query=32.446109,13.200233&zoom=15",Tripoli,Wadi Al-Rabi,3,2,False,120.0,300.0,,,False,Agent,Cash,Property For Sale,Homes for Sale,,,Mosque,,
1350000.0,,Benghazi,Al-Hai Al-Jamei,3,3,False,560.0,400.0,,Northern,False,Agent,Cash,Property For Sale,Villas for Sale,2233,,,,
1250000.0,,Benghazi,Al Nahr Road,7,4,False,250.0,500.0,,Southern,False,Agent,Cash,Property For Sale,Villas for Sale,2233,,,,
355000.0,,Tripoli,Fashloum,4,2,False,147.0,150.0,10.0,Northwest,False,Agent,Cash,Property For Sale,Homes for Sale,170,,,,
