price,city,neighborhood,bedrooms,bathrooms,furnished?,surface_area,building_age,facade,property_mortgaged?,lister_type,subcategory,latitude,longitude
180000.0,Tripoli,Airport Road,3.0,1.0,False,95.0,6.0,Unknown,False,Landlord,Apartments for Sale,32.733081,13.310333
255000.0,Tripoli,Al-Serraj,4.0,2.0,False,125.0,1.0,Northeast,False,Landlord,Apartments for Sale,32.849712,13.105349
600000.0,Tripoli,Airport Road,2.0,2.0,True,165.0,10.0,Northern,False,Landlord,Apartments for Sale,32.83853,13.150776
475000.0,Tripoli,Alfornaj,4.0,3.0,False,180.0,0.0,Western,False,Landlord,Apartments for Sale,32.85073,13.239476
475000.0,Tripoli,Al-Shok Rd,4.0,3.0,False,180.0,0.0,Western,False,Landlord,Apartments for Sale,32.826208,13.246933
215000.0,Tripoli,Alfornaj,2.0,1.0,False,110.0,20.0,Western,False,Landlord,Apartments for Sale,32.844624,13.237267
240000.0,Gharyan,Other,4.0,2.0,False,160.0,10.0,Northeast,False,Landlord,Apartments for Sale,32.168337,13.028321
290000.0,Zawiya,Other,3.0,2.0,True,150.0,1.0,Northeast,False,Landlord,Apartments for Sale,32.763028,12.736496
185000.0,Tripoli,Khalatat St,3.0,2.0,False,120.0,0.0,Eastern,False,Landlord,Apartments for Sale,32.769264,13.181019
175000.0,Tripoli,Salah Al-Din,2.0,2.0,False,125.0,10.0,Northeast,False,Landlord,Apartments for Sale,32.860039,13.169038
165000.0,Tripoli,Salah Al-Din,2.0,2.0,False,125.0,10.0,Northeast,False,Landlord,Apartments for Sale,32.850021,13.204186
325000.0,Misrata,Other,3.0,2.0,True,120.0,10.0,Northwest,False,Landlord,Apartments for Sale,32.397938,15.035662
450000.0,Benghazi,Al Hada'iq,4.0,2.0,False,150.0,10.0,Western,False,Landlord,Apartments for Sale,32.097365,20.100874
560000.0,Tripoli,Souq Al-Juma'a,4.0,2.0,False,165.0,0.0,Eastern,False,Landlord,Apartments for Sale,32.871067,13.29159
575000.0,Tripoli,Al-Mansoura,5.0,1.0,False,170.0,10.0,Northern,False,Agent,Apartments for Sale,32.836273,13.487006
450000.0,Tripoli,Al-Sidra,5.0,3.0,True,180.0,1.0,Eastern,False,Landlord,Apartments for Sale,32.880876,13.184259
825000.0,Benghazi,As-Sulmani Al-Sharqi,3.0,1.0,False,120.0,20.0,Southeast,False,Agent,Apartments for Sale,32.871126,13.312342
550000.0,Tripoli,Zawiyat Al Dahmani,4.0,3.0,False,160.0,0.0,Northeast,False,Agent,Apartments for Sale,32.778446,13.205771
150000.0,Misrata,Tamina,1.0,2.0,True,80.0,6.0,Southern,True,Agent,Apartments for Sale,32.240072,20.193121
795000.0,Tripoli,Al-Jabs,2.0,2.0,False,145.0,1.0,Unknown,False,Landlord,Apartments for Sale,32.02459,20.097458
252000.0,Tripoli,Al-Hashan,4.0,3.0,False,220.0,0.0,Northern,False,Agent,Apartments for Sale,32.827942,13.381835
550000.0,Benghazi,Al Hada'iq,4.0,2.0,False,150.0,10.0,Western,False,Landlord,Apartments for Sale,32.852272,13.07647
300000.0,Tripoli,Al-Jamahirriyah St,1.0,1.0,False,120.0,20.0,Northern,False,Landlord,Apartments for Sale,32.215121,15.088291
690000.0,Tripoli,Al-Jarabah St,3.0,1.0,False,129.0,6.0,Unknown,False,Landlord,Apartments for Sale,32.891758,13.175072
725000.0,Tripoli,Tajura,3.0,2.0,False,180.0,20.0,Unknown,False,Landlord,Apartments for Sale,32.787201,13.265077
720000.0,Benghazi,Qar Yunis,3.0,2.0,False,105.0,0.0,Eastern,False,Agent,Apartments for Sale,32.847191,13.125021
650000.0,Tripoli,Tajura,3.0,3.0,False,145.0,1.0,Eastern,False,Agent,Apartments for Sale,32.022215,20.033055
450000.0,Tripoli,Zawiyat Al Dahmani,3.0,1.0,False,170.0,10.0,Eastern,False,Agent,Apartments for Sale,32.803822,13.262916
500000.0,Benghazi,Bin Yunus,3.0,1.0,False,110.0,6.0,Northwest,False,Agent,Apartments for Sale,32.776279,13.387921
1000000.0,Tripoli,Janzour,4.0,2.0,False,130.0,20.0,Northwest,False,Landlord,Apartments for Sale,32.152866,20.112332
750000.0,Tripoli,Al-Serraj,3.0,2.0,True,130.0,6.0,Northwest,False,Landlord,Apartments for Sale,32.083243,20.128089
160000.0,Tripoli,Al-Serraj,3.0,2.0,False,160.0,0.0,Western,False,Agent,Apartments for Sale,32.124504,20.100513
300000.0,Tripoli,Al-Sareem,4.0,1.0,False,168.0,20.0,Western,False,Landlord,Apartments for Sale,32.872597,12.030429
500000.0,Tripoli,Khalatat St,2.0,1.0,False,135.0,1.0,Northern,False,Landlord,Apartments for Sale,32.799776,13.208564
330000.0,Tripoli,Zawiyat Al Dahmani,5.0,3.0,False,210.0,0.0,Unknown,False,Agent,Apartments for Sale,32.818459,13.064661
650000.0,Tripoli,Al-Jadada'a,3.0,2.0,True,138.0,1.0,Northern,False,Landlord,Apartments for Sale,32.868942,13.192061
