price,location,city,neighborhood,bedrooms,bathrooms,furnished?,surface_area,land_area,number_of_floors,building_age,facade,property_mortgaged?,lister_type,payment_method,category,subcategory,floor,reference_id,main_amenities,nearby,additional_amenities,property_status,country,real_estate_type,zoned_for
690000.0,"https://www.google.com/maps/search/?api=1&query=32.779791,13.318987&zoom=15",Tripoli,Ain Zara,More Than 6 Bedrooms,3 Bathrooms,Furnished,300 meter square,355 meter square,2 Floors,1 - 5 years,Northern,No ,Landlord,Cash,Property For Sale,Homes for Sale,,,,,,,,,
180000.0,"https://www.google.com/maps/search/?api=1&query=32.733081,13.310333&zoom=15",Tripoli,Airport Road,3 Bedrooms,One Bathroom,Unfurnished,95 meter square,,,6 - 9 years,,No,Landlord,Cash,Property For Sale,Apartments for Sale,Ground Floor,,,,,,,,
1250000.0,"https://www.google.com/maps/search/?api=1&query=32.844074,13.354989&zoom=15",Tripoli,Tajura,2 Bedrooms,2 Bathrooms,Furnished,170 meter square,1622 meter square,,10 - 19 years,Southeast,No,Agent,Cash,Property For Sale,Farms & Chalets for Sale,,066,,,,,,,
255000.0,"https://www.google.com/maps/search/?api=1&query=32.849712,13.105349&zoom=15",Tripoli,Al-Serraj,4 Bedrooms,2 Bathrooms,Unfurnished,125 meter square,,,1 - 5 years,Northeast,No,Landlord,Cash,Property For Sale,Apartments for Sale,Fourth Floor,,,,,,,,
120000.0,"https://www.google.com/maps/search/?api=1&query=32.093327,20.086777&zoom=15",Benghazi,Bu Hadi,2 Bedrooms,3 Bathrooms,Unfurnished,160 meter square,500 meter square,1 Floor,Under Construction,,No,Landlord,Cash,Property For Sale,Homes for Sale,,,,,,,,,
700000.0,"https://www.google.com/maps/search/?api=1&query=32.878323,13.166314&zoom=15",Tripoli,Al-Mansoura,More Than 6 Bedrooms,2 Bathrooms,Unfurnished,220 meter square,133 meter square,2 Floors,20+ years,Eastern,No,Agent,Cash,Property For Sale,Homes for Sale,,07,Balcony,,,,,,
600000.0,"https://www.google.com/maps/search/?api=1&query=32.83853,13.150776&zoom=15",Tripoli,Airport Road,2 Bedrooms,2 Bathrooms,Furnished,165 meter square,,,10 - 19 years,Northern,No,Landlord,Cash,Property For Sale,Apartments for Sale,Seventh floor,,,,,,,,
1050000.0,"https://www.google.com/maps/search/?api=1&query=32.76701,13.284226&zoom=15",Tripoli,Tareeq Al-Mashtal,More Than 6 Bedrooms,4 Bathrooms,Unfurnished,390 meter square,265 meter square,2 Floors,1 - 5 years,Eastern,No,Agent,Cash,Property For Sale,Villas for Sale,,22222,,,,,,,
475000.0,"https://www.google.com/maps/search/?api=1&query=32.85073,13.239476&zoom=15",Tripoli,Alfornaj,4 Bedrooms,3 Bathrooms,Unfurnished,180 meter square,,,0 - 11 months,Western,No,Landlord,Cash,Property For Sale,Apartments for Sale,Fourth Floor,,Balcony,,,,,,
450000.0,"https://www.google.com/maps/search/?api=1&query=32.635868,13.383924&zoom=15",Tripoli,Wadi Al-Rabi,1 Bedroom,One Bathroom,Semi Furnished,60 meter square,2500 meter square,,6 - 9 years,Southern,No,Landlord,Cash,Property For Sale,Farms & Chalets for Sale,,,,,,,,,
1750000.0,"https://www.google.com/maps/search/?api=1&query=32.873769,13.270429&zoom=15",Tripoli,Souq Al-Juma'a,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,400 meter square,452 meter square,2 Floors,0 - 11 months,Southern,No,Agent,Cash,Property For Sale,Homes for Sale,,1973,Installed Kitchen,,,,,,
3950000.0,"https://www.google.com/maps/search/?api=1&query=32.850189,13.070551&zoom=15",Tripoli,Al-Seyaheyya,More Than 6 Bedrooms,5 Bathrooms,Unfurnished,480 meter square,200 meter square,3 Floors,Under Construction,Southeast,No,Landlord,Cash,Property For Sale,Villas for Sale,,,,,,,,,
185000.0,"https://www.google.com/maps/search/?api=1&query=31.937334,19.954775&zoom=15",Benghazi,Al Halis District,2 Bedrooms,One Bathroom,Furnished,127 meter square,127 meter square,,1 - 5 years,Eastern,No,Agent,Cash,Property For Sale,Farms & Chalets for Sale,,,,Supermarket,,,,,
500000.0,"https://www.google.com/maps/search/?api=1&query=32.807232,13.315532&zoom=15",Tripoli,Ain Zara,3 Bedrooms,2 Bathrooms,Unfurnished,130 meter square,663 meter square,1 Floor,10 - 19 years,,No,Agent,Cash,Property For Sale,Homes for Sale,,00000008,,,,,,,
2300000.0,"https://www.google.com/maps/search/?api=1&query=32.903069,13.225187&zoom=15",Tripoli,Abu Sittah,More Than 6 Bedrooms,4 Bathrooms,Unfurnished,440 meter square,304 meter square,2 Floors,20+ years,Eastern,No,Landlord,Cash,Property For Sale,Villas for Sale,,,Balcony,,,,,,
475000.0,"https://www.google.com/maps/search/?api=1&query=32.826208,13.246933&zoom=15",Tripoli,Al-Shok Rd,4 Bedrooms,3 Bathrooms,Unfurnished,180 meter square,,,0 - 11 months,Western,No,Landlord,Cash,Property For Sale,Apartments for Sale,Fourth Floor,,,,,,,,
2350000.0,"https://www.google.com/maps/search/?api=1&query=32.871208,13.146643&zoom=15",Tripoli,Gorje,More Than 6 Bedrooms,More Than 6 Bathrooms,Furnished,845 meter square,305 meter square,4 Floors,1 - 5 years,Northern,No,Landlord,Cash,Property For Sale,Villas for Sale,,,Laundry Room,,BBQ Area,,,,
215000.0,"https://www.google.com/maps/search/?api=1&query=32.844624,13.237267&zoom=15",Tripoli,Alfornaj,2 Bedrooms,One Bathroom,Unfurnished,110 meter square,,,20+ years,Western,No,Landlord,Cash,Property For Sale,Apartments for Sale,Ground Floor,,Balcony,,Storage,,,,
240000.0,"https://www.google.com/maps/search/?api=1&query=32.168337,13.028321&zoom=15",Gharyan,Other,4 Bedrooms,2 Bathrooms,Unfurnished,160 meter square,,,10 - 19 years,Northeast,No,Landlord,Cash,Property For Sale,Apartments for Sale,First Floor,,,,,,,,
2300000.0,"https://www.google.com/maps/search/?api=1&query=32.804192,13.093391&zoom=15",Tripoli,Al-Serraj,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,700 meter square,2600 meter square,2 Floors,Under Construction,Northern,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
1200000.0,"https://www.google.com/maps/search/?api=1&query=32.879863,13.289647&zoom=15",Tripoli,Souq Al-Juma'a,More Than 6 Bedrooms,4 Bathrooms,Unfurnished,350 meter square,220 meter square,2 Floors,6 - 9 years,,No,Agent,Cash,Property For Sale,Homes for Sale,,00000000013,,,,,,,
3000000.0,"https://www.google.com/maps/search/?api=1&query=32.859253,13.298924&zoom=15",Tripoli,Ain Zara,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,1500 meter square,1000 meter square,3 Floors,1 - 5 years,Southwest,No,Agent,Cash,Property For Sale,Homes for Sale,,145,,,,,,,
1900000.0,"https://www.google.com/maps/search/?api=1&query=32.877262,13.278005&zoom=15",Tripoli,Souq Al-Juma'a,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,550 meter square,260 meter square,3 Floors,0 - 11 months,Western,No,Agent,Cash,Property For Sale,Homes for Sale,,22221,,,,,,,
1200000.0,"https://www.google.com/maps/search/?api=1&query=32.883381,13.281882&zoom=15",Tripoli,Souq Al-Juma'a,More Than 6 Bedrooms,4 Bathrooms,Unfurnished,200 meter square,280 meter square,2 Floors,1 - 5 years,Northern,No,Agent,Cash,Property For Sale,Homes for Sale,,124,,,,,,,
800000.0,"https://www.google.com/maps/search/?api=1&query=32.878452,13.300676&zoom=15",Tripoli,Souq Al-Juma'a,5 Bedrooms,2 Bathrooms,Unfurnished,300 meter square,200 meter square,2 Floors,1 - 5 years,Western,No,Agent,Cash,Property For Sale,Homes for Sale,,11223,,,,,,,
